epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1045.08,1.12992,0.7095,1.19774,0.81209,0.79378,0.86341,0.49852,1.63789,0.91643,1.57193,0.0003962,0.0003962,0.0003962
83,1057.79,1.0887,0.70285,1.18383,0.78098,0.80046,0.85793,0.48414,1.6218,0.90967,1.54685,0.0003764,0.0003764,0.0003764
84,1070.52,1.11116,0.70803,1.20662,0.80058,0.8,0.85529,0.49112,1.65551,0.92188,1.58069,0.0003566,0.0003566,0.0003566
85,1083.19,1.1046,0.70338,1.20719,0.81849,0.79145,0.85455,0.49338,1.58369,0.90622,1.53256,0.0003368,0.0003368,0.0003368
86,1095.92,1.0932,0.70052,1.20047,0.81411,0.78652,0.86765,0.51285,1.57805,0.89295,1.52366,0.000317,0.000317,0.000317
87,1108.67,1.07376,0.68906,1.17892,0.79488,0.82857,0.87319,0.50039,1.59554,0.91119,1.56412,0.0002972,0.0002972,0.0002972
88,1121.39,1.06546,0.67259,1.1844,0.76605,0.82862,0.85428,0.48692,1.61988,0.93378,1.56678,0.0002774,0.0002774,0.0002774
89,1134.18,1.05695,0.66222,1.17845,0.75893,0.80816,0.8434,0.48133,1.64542,0.98007,1.60256,0.0002576,0.0002576,0.0002576
90,1146.94,1.04462,0.66805,1.17781,0.80261,0.8,0.86585,0.50829,1.55327,0.93352,1.49628,0.0002378,0.0002378,0.0002378
91,1162.43,1.03334,0.64273,1.1483,0.79611,0.80408,0.86964,0.48706,1.60633,0.90849,1.53588,0.000218,0.000218,0.000218
92,1175.07,0.99372,0.58452,1.13647,0.81794,0.72653,0.83749,0.47901,1.60467,0.97486,1.54169,0.0001982,0.0001982,0.0001982
93,1187.6,0.9683,0.56942,1.11743,0.79427,0.76735,0.8466,0.49142,1.60449,0.98316,1.55214,0.0001784,0.0001784,0.0001784
94,1200.19,0.97383,0.5829,1.13348,0.79737,0.81914,0.86012,0.49572,1.60561,0.93482,1.56022,0.0001586,0.0001586,0.0001586
95,1212.88,0.96004,0.55078,1.11948,0.7982,0.82449,0.85981,0.48312,1.62195,0.95873,1.59336,0.0001388,0.0001388,0.0001388
96,1225.55,0.92511,0.54501,1.08006,0.79096,0.80309,0.8568,0.49523,1.60174,0.96591,1.57571,0.000119,0.000119,0.000119
97,1238.16,0.94678,0.52918,1.11688,0.79819,0.82041,0.85558,0.49908,1.59637,0.9428,1.57626,9.92e-05,9.92e-05,9.92e-05
98,1250.91,0.91353,0.52937,1.07232,0.81396,0.80362,0.86005,0.49915,1.60273,0.94306,1.56564,7.94e-05,7.94e-05,7.94e-05
99,1263.54,0.91398,0.54375,1.0923,0.80702,0.8,0.85605,0.50024,1.59163,0.94338,1.55799,5.96e-05,5.96e-05,5.96e-05
100,1276.3,0.9247,0.53788,1.10139,0.80312,0.80816,0.85593,0.49927,1.57865,0.92733,1.55233,3.98e-05,3.98e-05,3.98e-05
